Epoch	TrainLoss	ValAcc	Time
1	6.8464966	0.798	736.74
2	6.7004991	2.994	486.04
3	6.3564568	6.562	500.27
4	6.4010396	10.072	500.67
5	5.6124973	14.180	500.53
6	5.3232007	17.978	499.88
7	5.7450829	21.508	501.49
8	4.9127631	25.514	508.90
9	6.1639423	28.412	503.13
10	4.4951940	32.598	502.12
11	4.2185941	36.314	502.48
12	5.9185109	37.890	502.42
13	5.0322232	41.378	501.58
14	4.2264767	43.994	503.37
15	4.7444549	46.342	501.00
16	4.3503261	47.904	503.28
17	3.5573781	49.950	502.46
18	4.7498975	51.868	499.78
19	3.4179335	53.186	502.03
20	5.0479169	54.360	500.60
21	5.2890420	56.356	499.31
22	5.0997891	57.060	499.82
23	5.8708839	57.882	500.57
24	4.9967484	58.948	499.51
25	3.2896950	59.736	499.38
26	3.0397635	60.758	498.72
27	4.2055602	61.230	498.21
28	3.1434195	62.082	498.23
29	5.5269790	61.682	498.83
30	5.0511403	63.264	500.25
31	4.8603473	63.668	495.27
32	4.6180382	63.982	497.13
33	4.9421854	64.768	495.91
34	4.2997613	64.918	495.99
35	2.9101837	65.462	497.40
36	2.7724779	65.760	494.33
37	4.5474315	65.704	495.46
38	4.4616823	66.684	498.43
39	4.7604613	67.108	496.30
40	4.4263511	67.268	494.16
41	3.5651605	67.576	492.83
42	3.9767072	68.116	494.02
43	2.6704195	68.322	492.11
44	4.7021213	68.398	492.30
45	4.1614509	68.748	490.91
46	3.7551105	69.214	491.13
47	4.2419915	69.484	493.72
48	5.0917535	69.336	493.64
49	4.1671453	70.204	494.08
50	4.4599471	70.264	492.52
51	3.0942571	70.566	494.67
52	2.3239298	70.694	494.19
53	2.6916907	70.772	494.99
54	4.1969748	71.258	494.12
55	4.1507821	71.080	493.04
56	3.6651218	71.350	495.70
57	2.6112053	71.514	491.97
58	2.5985420	71.744	491.91
59	4.1937442	72.232	492.81
60	4.3752427	71.608	491.14
61	2.4898889	72.290	493.26
62	4.1990886	72.522	490.92
63	2.2901940	72.470	491.84
64	2.6594377	72.664	492.85
65	3.6768436	72.700	491.02
66	3.8559780	72.516	491.59
67	4.2636886	73.212	494.20
68	4.1558528	73.128	491.24
69	2.9699843	73.392	494.51
70	4.6231732	73.286	489.59
71	4.2263794	73.020	494.24
72	2.6812289	73.294	489.89
73	3.9310772	73.422	492.32
74	4.5315900	73.990	492.65
75	2.2931221	73.898	491.86
76	2.3736708	73.754	492.76
77	3.5810835	73.904	490.72
78	2.4129703	74.176	494.05
79	3.4721072	74.058	491.11
80	3.8073161	74.172	491.14
81	2.5113189	73.928	492.20
82	4.2625632	74.236	495.29
83	2.4633663	74.526	493.06
84	3.0472105	74.372	491.01
85	2.4763911	74.342	492.42
86	4.1210737	74.534	494.22
87	3.1600807	74.238	491.08
88	4.0113821	74.328	490.52
89	4.2518930	74.774	495.27
90	3.2836406	74.648	491.28
91	4.3752365	74.980	492.42
92	2.5351202	74.792	490.49
93	3.8378334	74.940	488.29
94	2.4389503	74.886	487.16
95	3.6697171	74.860	487.14
96	3.1838624	74.712	490.78
97	2.9999721	75.438	490.66
98	3.4006293	74.838	489.57
99	3.7300532	75.380	489.72
100	2.5299859	75.378	490.03
101	2.2739701	75.400	489.18
