Epoch	TrainLoss	ValAcc	Time
1	6.7390079	1.746	602.54
2	6.2364411	6.228	234.60
3	6.0282965	9.700	246.67
4	5.4466724	13.258	252.03
5	5.7027774	16.980	254.00
6	6.0870028	21.724	255.03
7	4.6098862	25.470	248.59
8	5.4236374	28.564	248.12
9	4.4051743	31.454	245.79
10	4.2398958	34.866	245.73
11	5.7636671	37.218	244.71
12	5.4032130	39.472	245.67
13	3.8741667	41.436	244.34
14	3.6827395	43.314	244.58
15	4.3368211	44.908	245.37
16	3.5273106	46.698	245.81
17	3.5009210	47.934	245.30
18	5.2299128	48.264	246.05
19	5.3483248	49.774	244.42
20	3.7317853	51.214	243.29
21	3.7000277	51.542	243.94
22	3.3737986	53.016	244.25
23	4.7442079	52.994	245.23
24	3.7371712	53.812	243.32
25	4.8836088	54.520	244.66
26	2.9734817	55.364	243.74
27	4.9067450	56.476	242.72
28	3.2649167	56.440	243.00
29	3.5916328	57.088	244.84
30	4.0989094	57.636	242.77
31	4.1867399	58.338	243.08
32	4.6599646	59.000	242.69
33	4.6889906	58.830	242.49
34	4.5200381	59.238	243.45
35	4.5597663	59.336	242.38
36	3.0286810	60.010	241.15
37	3.1410820	60.086	240.82
38	4.7834787	60.954	242.08
39	3.0503356	61.116	242.44
40	4.7325678	61.134	241.47
41	4.7239852	61.212	241.79
42	2.9154110	61.834	241.38
43	5.2293634	61.750	240.53
44	2.7575753	62.116	241.80
45	4.4117761	62.478	241.57
46	2.9125357	62.598	241.13
47	4.4724798	62.952	243.14
48	4.2753639	63.116	241.69
49	2.7632060	63.536	242.35
50	3.0459030	63.270	242.54
51	4.2931433	63.712	243.69
52	4.8152547	63.996	243.84
53	4.8203402	64.338	242.39
54	3.1213593	64.070	244.17
55	2.8527417	64.648	245.04
56	4.4741163	64.662	243.46
57	2.6707292	64.722	244.62
58	3.6475055	64.724	245.31
59	2.6523507	65.108	244.11
60	5.0954747	65.188	243.30
61	2.8830104	65.304	244.93
62	3.9782059	65.560	244.08
63	3.8247981	65.782	241.72
64	2.8076777	65.698	244.00
65	3.7069647	66.150	242.73
66	2.7700512	66.020	241.48
67	3.4558251	66.112	242.45
68	4.3117833	66.110	241.52
69	2.6921630	66.320	242.85
70	4.4627161	66.404	243.28
71	3.5049546	66.486	242.25
72	4.3594036	66.814	240.63
73	4.3995261	66.468	241.06
74	4.3839359	66.802	242.66
75	4.1429429	66.768	243.11
76	2.8342061	67.042	241.28
77	3.9057958	66.988	242.23
78	4.7239084	67.062	241.52
79	2.5724444	67.540	241.07
80	3.9084451	67.500	240.59
81	3.1504283	67.448	241.65
82	2.7778873	67.316	241.60
83	4.1329441	67.760	240.57
84	2.4818077	67.622	239.91
85	3.5484796	67.902	241.54
86	3.6627436	67.704	241.38
87	2.6824861	68.064	242.20
88	3.9968922	67.814	241.51
89	3.9006257	68.400	240.75
90	4.2654486	68.146	240.88
91	3.2118299	68.242	240.97
92	4.4024491	68.332	241.49
93	3.7076113	68.396	241.06
94	2.5287523	68.622	242.30
95	3.9835870	68.770	241.03
96	2.5720394	68.220	240.48
97	3.5495861	68.524	241.28
98	4.2678962	68.710	240.33
99	3.9591761	68.850	241.30
100	3.3633275	68.868	241.45
101	3.2184932	68.776	240.42
102	2.5261047	69.060	241.37
103	2.9839394	69.210	240.46
104	2.6124358	69.110	240.39
105	2.5385833	69.212	241.00
106	3.7554893	69.120	240.59
107	4.1277623	69.138	240.67
108	4.0088711	69.412	241.10
109	2.3363948	69.374	239.52
110	2.4525404	69.468	241.11
111	2.8748336	69.378	240.96
112	4.0637798	69.516	240.67
113	2.5440052	69.508	240.21
114	2.8963108	69.530	242.53
115	4.1523190	69.802	239.91
116	2.7586157	69.832	241.60
117	3.9868960	69.782	239.41
118	2.6194203	69.880	242.70
119	4.5115061	70.026	241.49
120	3.0174327	69.668	240.22
121	2.3640282	69.942	240.98
122	4.6990366	70.194	240.24
123	3.5461833	70.236	241.50
124	2.7537427	70.240	239.55
125	4.0875239	70.228	240.52
126	4.1404409	70.256	241.08
127	4.1101313	70.262	240.22
128	4.0825429	70.072	240.55
129	3.8846698	70.340	241.33
130	4.1984663	70.374	241.31
131	3.4700763	70.008	240.46
132	2.2537870	70.360	239.50
133	2.4000037	70.536	241.93
134	4.1546707	70.306	243.02
135	3.9557848	70.686	239.09
136	2.2338800	70.612	241.73
137	2.3123794	70.588	240.94
138	2.8248391	70.820	241.54
139	2.3412907	70.808	240.00
140	3.5602260	70.798	241.28
141	2.3513770	70.934	240.36
142	2.6742802	70.854	240.53
143	3.1147351	70.890	240.60
144	4.0134692	70.856	242.21
145	3.9617085	70.936	240.26
146	4.3816967	70.888	241.05
147	2.1984069	71.122	241.36
148	2.2804587	71.036	239.50
149	3.6239386	71.114	240.72
150	4.2045035	71.154	241.76
151	2.2719104	71.174	240.18
152	3.3361866	71.252	240.69
153	3.9524336	71.318	241.68
154	3.7567186	71.366	241.46
155	2.4657977	71.198	241.86
156	3.7372692	71.504	239.43
157	2.0993893	71.418	239.61
158	2.7764266	71.332	241.45
159	3.8280420	71.598	241.60
160	3.8264031	71.450	239.98
161	3.0448184	71.558	240.95
162	2.8559103	71.568	240.88
163	3.1810870	71.560	240.65
164	2.4914968	71.524	240.20
165	3.9990232	71.692	241.56
166	3.9388621	71.828	241.42
167	2.6157596	71.712	241.75
168	4.3488245	71.714	240.20
169	4.1288772	71.786	241.69
170	3.3875649	71.878	242.45
171	3.7092304	71.938	242.05
172	4.6951051	71.866	242.29
173	3.2772760	72.000	241.47
174	3.3300254	71.982	241.02
175	2.6752651	71.910	241.95
176	2.4017529	72.024	242.42
177	3.8224299	71.958	242.45
178	4.1715055	72.066	241.62
179	4.1412005	71.940	242.80
180	4.0801330	72.160	243.81
181	2.7248657	72.150	242.55
182	2.8795218	71.968	241.30
183	3.0704174	72.240	242.48
184	3.6972535	72.112	241.20
185	2.3903506	72.198	242.99
186	3.0114830	72.412	242.46
187	2.1673450	72.368	242.34
188	4.0055156	72.308	241.96
189	3.0849833	72.490	241.97
190	2.5625172	72.302	242.24
191	2.3509967	72.336	241.47
192	3.8014669	72.348	241.72
193	2.2710545	72.348	242.02
194	2.3170462	72.610	244.54
195	3.8696685	72.538	240.78
196	3.3346603	72.542	242.59
197	2.5470290	72.508	242.96
198	2.2040226	72.640	242.54
199	3.5564969	72.432	242.38
200	4.5554538	72.554	241.97
201	3.7669544	72.634	242.12
202	2.3650765	72.838	241.45
203	3.1442597	72.650	242.00
204	3.8377645	72.646	242.15
205	2.2016771	72.692	242.39
206	3.0116210	72.828	243.52
207	3.4001610	72.820	242.61
208	4.2751999	72.766	242.57
209	2.3162541	72.906	242.17
210	2.7361088	72.724	240.03
211	3.9968309	73.018	242.00
212	3.9074488	72.992	240.90
213	3.9382322	72.982	241.87
214	3.2244394	72.822	241.70
215	3.9290168	72.904	242.79
216	3.1853666	72.888	242.05
217	3.8499050	72.950	242.54
218	2.3381832	72.924	242.96
219	3.6103587	72.992	241.79
220	2.6422062	72.894	241.14
221	3.8509462	72.836	242.84
222	3.8903892	72.938	242.25
223	3.6058567	73.008	242.36
224	2.1862347	73.030	242.19
225	3.8915348	73.124	241.70
226	3.0306761	73.026	241.34
227	3.3191998	73.088	241.69
228	2.9798646	72.996	243.80
229	2.9708393	73.152	241.86
230	2.2948053	73.092	242.80
231	3.3142381	73.156	242.93
232	3.9636545	73.080	242.04
233	3.9786015	73.172	241.93
234	3.8155670	73.270	242.86
235	3.4734185	73.242	241.86
236	3.0414214	73.240	241.36
237	3.1126297	73.286	243.13
238	2.9954336	73.208	240.79
239	2.3085806	73.204	244.15
240	3.1088114	73.334	242.31
241	2.3689394	73.428	241.73
242	4.4030361	73.412	242.61
243	3.7625971	73.362	242.01
244	4.0032563	73.364	242.35
245	4.0717130	73.322	242.49
246	3.8337648	73.422	242.31
247	3.6295075	73.394	242.14
248	3.8641105	73.394	241.60
249	2.3462913	73.438	241.70
250	3.0351367	73.456	243.70
251	2.2275720	73.562	241.84
252	3.9395518	73.350	242.11
253	2.0786200	73.340	241.64
254	2.9381597	73.388	243.01
255	2.3111300	73.440	241.21
256	3.7656994	73.376	243.27
257	3.8477445	73.414	242.68
258	2.5403712	73.468	243.13
259	3.7848749	73.478	243.18
260	2.9989583	73.484	242.92
261	2.1835196	73.524	242.80
262	2.2054574	73.514	242.69
263	2.1521206	73.498	242.11
264	3.4560537	73.518	240.99
265	2.3937948	73.480	241.89
266	3.8963370	73.514	242.32
267	3.9253340	73.506	242.09
268	2.2254808	73.526	241.80
269	2.5867603	73.584	241.95
270	3.7540057	73.470	242.72
271	3.6008532	73.532	242.07
272	2.7966013	73.604	242.37
273	3.6331632	73.576	243.17
274	3.4706421	73.606	242.05
275	3.8771420	73.546	243.18
276	2.2205992	73.576	242.42
277	2.2775111	73.592	241.07
278	4.0049529	73.578	242.68
279	2.3263590	73.596	243.13
280	2.2185500	73.542	241.72
281	2.7996442	73.608	243.64
282	2.1195436	73.572	242.43
283	2.1054244	73.648	241.76
284	3.9550672	73.666	241.48
285	2.4936857	73.576	241.66
286	3.7904069	73.598	243.08
287	2.3083751	73.624	242.68
288	3.8398573	73.630	242.78
289	2.4649172	73.648	242.14
290	3.3190928	73.584	242.29
291	3.9242120	73.610	241.22
292	2.1680577	73.626	241.33
293	2.1376610	73.598	243.20
294	2.3436692	73.578	241.38
295	2.2472081	73.600	241.88
296	2.8206697	73.612	242.24
297	3.8451176	73.632	241.64
298	3.5744469	73.614	240.71
299	4.0271940	73.600	241.87
300	2.3595591	73.640	238.96
