Epoch	TrainLoss	ValAcc	Time
1	6.8450356	0.592	503.29
2	6.6319246	1.644	248.37
3	6.5989599	4.030	247.73
4	6.3959002	6.776	247.65
5	6.3168807	9.460	247.50
6	6.0657358	11.282	247.83
7	5.6137609	14.986	247.39
8	6.2086110	17.244	247.79
9	5.3191452	20.312	247.29
10	6.0135961	22.154	247.84
11	4.6699209	25.220	248.04
12	4.8705730	27.016	248.10
13	5.1647673	29.710	247.46
14	4.3231859	31.922	247.97
15	5.6040092	34.270	247.28
16	4.1153131	36.228	247.32
17	4.0063190	38.730	247.18
18	3.8571122	41.108	248.34
19	5.2220778	41.280	247.92
20	4.9697270	43.918	247.44
21	4.2175183	45.060	247.63
22	5.5170336	46.584	247.58
23	3.9213493	47.894	246.79
24	4.1912894	49.558	246.63
25	3.4712901	50.576	247.04
26	4.8320875	51.994	247.77
27	3.3462861	52.188	247.82
28	5.0488076	53.660	248.04
29	5.1611757	54.124	248.25
30	4.5412779	55.726	247.21
31	5.6456089	56.090	248.72
32	2.9883401	56.278	247.54
33	4.8971090	56.818	247.05
34	4.4970317	57.580	246.79
35	4.9865808	58.766	248.57
36	4.1458759	59.120	248.76
37	3.7087052	59.626	248.43
38	4.8313975	60.008	249.23
39	4.0179791	60.544	249.78
40	3.1182981	60.740	247.95
41	2.9847627	61.590	248.27
42	4.5061135	62.206	247.43
43	4.9975801	62.134	248.00
44	4.6545391	62.662	248.89
45	2.7226923	63.036	247.92
46	4.5401683	63.232	247.74
47	2.9577429	64.096	247.63
48	4.5414443	64.246	246.18
49	2.7347488	64.594	247.32
50	3.6779389	65.026	247.08
51	4.4887786	65.564	247.57
52	2.7508585	65.240	246.26
53	3.5776944	65.794	247.05
54	2.6368241	66.094	246.34
55	2.8549399	66.104	246.13
56	4.8892059	66.550	246.43
57	2.6162410	66.878	247.05
58	4.0737662	66.994	247.14
59	2.8628778	67.440	245.99
60	2.5767832	67.420	246.29
61	4.2220178	67.668	246.46
62	4.3126798	67.700	247.30
63	4.1229744	67.918	246.50
64	4.2061024	68.540	245.65
65	2.8020804	68.646	245.58
66	4.3261662	68.440	245.61
67	4.2471657	68.548	246.15
68	3.8618684	68.624	246.01
69	4.0670500	68.792	246.37
70	4.1865840	69.162	246.43
71	3.4398780	69.248	246.40
72	4.1473885	69.628	245.89
73	4.2637792	69.646	246.18
74	4.1399136	70.014	247.21
75	2.5111618	69.770	246.52
76	2.6463687	69.948	247.18
77	2.3438258	70.060	246.43
78	3.8590369	70.242	245.84
79	3.3480129	70.150	244.84
80	2.3554008	70.492	246.13
81	2.6519573	70.508	246.14
82	4.3089046	70.822	246.75
83	3.8509190	70.418	246.02
84	4.2032542	70.758	246.29
85	3.9989531	70.790	245.75
86	4.0922837	70.986	245.85
87	3.6445184	71.032	246.23
88	3.0275331	71.256	246.15
89	3.1891532	71.266	246.64
90	4.0425935	71.066	245.99
91	4.0501556	71.384	246.07
